Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-45.77528	82.13883	23.156294	-407.738	-365.52792	865.47095	-24.646416	-2957.3052	130.08109	128.0	5000	15.536815	18.483582	99.07519	-13.650229	-19.089878	1.4516852	47.308852195739746
2	-55.758263	104.50113	38.26196	-365.16522	-755.2339	1067.8984	-29.061207	-2981.7344	163.92857	250.9	10000	308.9307	196.19495	899.35144	-299.8256	-345.04196	134.78317	95.21265745162964
3	-370.99493	731.3504	-16.308731	-2677.6838	-680.70056	1152.6659	-31.1828	-3003.1108	153.08571	224.5	15000	1185.8945	251.92274	1791.7643	-884.36005	-1236.1147	1713.6062	153.25610494613647
4	-410.2648	762.5885	-33.369144	-2675.8884	-127.918045	113.12055	-26.801094	-430.01657	155.93939	49.5	20000	1558.7029	151.78134	1892.929	-664.0522	-1588.0408	3011.3455	206.51799535751343
5	-286.01648	652.5899	-25.793459	-2686.793	-77.79236	40.530704	-27.472746	-163.10475	108.68293	26.0	25000	1527.7822	154.07553	1834.9111	-903.5821	-1549.031	2658.3362	253.44886875152588
6	-334.7076	739.8652	-23.942953	-2691.3386	-388.30658	812.8054	-37.983955	-2818.2144	127.710526	137.7	30000	1418.9191	161.41661	1689.9697	-956.02075	-1438.2103	2257.7375	305.7115387916565
7	-570.04376	1001.91205	-20.057419	-2701.6086	-590.47235	965.163	-68.73402	-2921.2864	213.62962	205.7	35000	1283.8563	162.82704	1582.9805	-952.02826	-1301.4747	1885.2542	366.95265555381775
8	-532.22644	912.6661	-23.825703	-2663.204	-316.42038	482.51797	-23.604813	-1690.3849	203.86363	114.3	40000	1180.5284	139.9152	1441.8241	-826.73047	-1196.8014	1323.0984	415.7598514556885
9	-273.2611	674.72064	-10.363213	-2619.9937	-351.1134	836.91833	-25.47038	-2859.3801	107.98039	124.3	45000	1061.3624	131.06044	1326.0284	-876.2678	-1074.8202	1230.6853	474.90626406669617
10	-532.50305	865.0215	-27.039711	-2615.7637	-592.73975	839.11554	-44.428345	-2784.1877	210.85715	219.5	50000	933.158	113.21761	1132.5956	-1205.0525	-945.1755	918.0701	526.8475539684296
