Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-326.09967	16.188614	-302.23126	-352.5327	-492.6607	81.39546	-360.27783	-596.45917	1000.0	1000.0	5000	18.349033	15.019215	68.67124	-4.1484857	-21.05928	0.77741075	55.51811456680298
2	-321.91693	65.345085	-241.05338	-430.7987	-704.6141	27.78922	-657.0514	-745.73627	1000.0	1000.0	10000	106.94498	34.629345	195.8273	32.428215	-113.12502	4.611521	109.86755466461182
3	-557.7694	122.00764	-326.54764	-673.78156	-422.36856	32.51981	-356.89728	-473.6412	1000.0	1000.0	15000	181.5863	8.501267	220.55544	138.5663	-184.22565	8.914567	169.99799704551697
4	-326.5472	66.88805	-248.13367	-409.42618	-244.48811	151.07317	79.98415	-476.7782	1000.0	1000.0	20000	171.40077	10.114379	214.70717	141.51161	-172.59798	5.3128624	230.98923635482788
5	-112.60288	276.18518	350.67	-401.94165	641.36664	393.38605	1023.4928	-242.08768	1000.0	1000.0	25000	149.06648	9.64557	195.51747	113.54062	-149.93077	3.9963164	291.90963792800903
6	251.50436	530.934	1113.7673	-557.20874	148.98389	350.22754	633.90137	-380.6198	1000.0	1000.0	30000	153.54712	12.072624	206.86966	116.35451	-156.01814	6.572853	352.78429079055786
7	-311.2481	467.14014	603.81976	-631.94995	-517.8526	54.9952	-424.41632	-620.32666	1000.0	1000.0	35000	159.61186	15.009557	220.07039	108.654045	-161.74185	6.4325743	414.1853594779968
8	835.2295	611.85583	1554.0736	-302.20538	1309.259	145.02739	1596.6775	1077.9642	1000.0	1000.0	40000	164.36371	22.02897	227.74501	84.2437	-166.1056	6.8029923	475.1051506996155
9	1362.6422	946.64594	2253.3875	-353.75354	1307.1179	1191.9618	2550.019	-566.23584	1000.0	1000.0	45000	169.6851	30.035831	256.0011	77.25648	-171.56693	6.82659	534.8190371990204
10	1818.2332	1152.3154	2747.0024	-422.05817	2037.0247	699.42224	2911.0688	805.5828	1000.0	1000.0	50000	181.9061	43.503464	277.06882	58.49565	-183.94753	8.069232	595.1612029075623
11	1694.0813	1307.9982	3099.8225	-212.36441	2465.562	911.4784	3230.6697	545.4013	1000.0	1000.0	55000	195.30107	53.604633	304.89883	53.37194	-197.27756	9.30466	656.0833859443665
12	2842.367	105.066826	2959.8691	2658.9827	2410.598	273.58453	2805.683	1998.2288	1000.0	1000.0	60000	210.08456	64.746735	327.95782	39.011925	-212.0484	10.880257	715.1655926704407
13	2952.2163	313.64627	3357.9795	2606.3765	3115.874	138.45491	3370.064	2889.8147	1000.0	1000.0	65000	229.41843	72.26846	347.81894	35.111526	-231.5199	12.053497	776.6093866825104
14	3252.142	150.371	3412.1677	3045.6357	3405.53	93.61359	3531.4795	3237.435	1000.0	1000.0	70000	250.31052	77.008224	372.97324	34.9034	-252.4238	12.192438	837.3688538074493
15	3263.339	166.68831	3471.2957	2985.331	3182.3228	761.7085	3651.0732	946.1428	1000.0	1000.0	75000	270.55704	80.061066	393.2034	38.67665	-272.7211	12.461264	898.4015052318573
16	3166.2493	278.04187	3471.4497	2722.7551	3563.257	108.00507	3799.4004	3379.6887	1000.0	1000.0	80000	288.3965	80.9815	399.68655	42.43343	-290.47488	12.317801	960.5662484169006
17	3295.6694	545.4307	3648.9502	2233.0835	2860.6484	478.5318	3400.3684	1719.5238	1000.0	1000.0	85000	303.13626	80.9312	409.74045	44.44791	-305.15176	13.057052	1022.8877854347229
18	3058.8909	501.29608	3641.794	2235.4502	3735.3442	231.03685	4002.3218	3178.928	1000.0	1000.0	90000	315.84198	82.15061	428.15735	41.085938	-317.8333	14.015556	1085.589059829712
