Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-750.73987	28.591146	-705.7147	-782.87177	1000.0	0.0798575	1.2429346	2.983852	-2.966747	4000	7.2479246e-08	5107.33	-0.05825172	-896.0571	5.489976	0.015270052	0.298	23.0	5.217527627944946
1	-668.5311	25.770145	-628.6031	-691.9278	1000.0	-4.9807043	8.900444	14.571606	-15.999721	8000	9.1612335e-08	3570.9395	-0.04547202	-1579.712	5.4910307	0.01599248	0.21525	18.0	9.61717677116394
2	-674.8874	102.90117	-501.3998	-766.6673	1000.0	-19.523254	4.520353	8.085178	-23.698006	12000	-2.5272369e-08	2271.4097	-0.047304463	-743.9147	5.4575195	0.016304163	0.2445	23.0	13.812274694442749
3	-700.3858	68.95177	-607.98486	-799.0364	1000.0	-30.460892	0.61865926	-22.514639	-30.892464	16000	1.2397766e-08	1714.8665	-0.05374721	-382.81262	5.4764676	0.015567656	0.28225	26.0	17.93122434616089
4	-615.00024	14.754351	-595.2836	-631.04944	1000.0	-36.711975	0.30617467	-31.150316	-36.876842	20000	5.841255e-09	724.165	-0.056319833	-127.681335	5.4598303	0.015424317	0.3	35.0	22.615742921829224
5	-657.68567	82.51897	-550.7814	-755.3819	1000.0	-40.359814	0.37724137	-32.270638	-40.542236	24000	-3.7908553e-08	833.5155	-0.016346864	-117.250244	5.423035	0.017261082	0.2265	5.0	26.96547269821167
6	-560.9216	71.93595	-461.8207	-654.9071	1000.0	-43.959785	0.23128694	-37.29796	-44.050987	28000	-2.8371812e-08	298.2203	-0.013361	-27.47229	5.4246964	0.019138303	0.23825	5.0	31.328195095062256
7	-658.5079	89.34586	-512.79816	-734.5218	1000.0	-45.315655	2.0356343	1.3563983	-45.867207	32000	1.2993812e-08	808.4294	-0.04788087	-67.174255	5.469394	0.016607238	0.24325	23.0	35.84339380264282
8	-669.5552	59.452824	-579.9655	-746.981	1000.0	-48.385002	0.5011733	-28.683464	-48.52241	36000	-2.992153e-08	572.4201	-0.042210832	-49.473938	5.443877	0.016007926	0.22	19.0	40.333956241607666
9	-614.18805	60.712643	-553.0456	-704.4768	1000.0	-50.91849	0.7793992	-10.439322	-51.052242	40000	8.5830685e-09	303.39905	-0.016183538	-7.1037903	5.375905	0.017107636	0.23925	6.0	44.467854261398315
10	-624.2363	55.12968	-559.7311	-697.4415	1000.0	-51.94303	0.3913323	-43.388813	-52.075382	44000	-1.2397766e-08	564.7709	-0.017596107	-21.411804	5.4106092	0.01879266	0.233	6.0	49.02325916290283
11	-536.74304	123.699066	-365.329	-712.8482	1000.0	-52.66232	4.3385205	35.807423	-53.41959	48000	-2.2888184e-08	412.92856	-0.032992393	-30.0878	5.4366627	0.015543006	0.214	13.0	53.29284930229187
12	-573.3165	51.506992	-508.53128	-652.15936	1000.0	-48.866493	8.669713	33.02928	-52.85766	52000	-8.5830685e-09	309.13406	-0.06660279	-63.550842	5.3733883	0.0150510175	0.338	51.0	58.29680585861206
13	-560.20154	49.330036	-514.82666	-639.30286	1000.0	-52.076378	1.8779691	-16.89708	-52.75281	56000	-2.0980835e-08	257.09024	-0.0182733	-11.600006	5.335807	0.020061115	0.22375	6.0	62.62210130691528
14	-568.16833	56.646656	-498.778	-638.68475	1000.0	-50.91907	3.3586404	15.123948	-51.973263	60000	-1.6689301e-09	399.58414	-0.04600438	-15.562775	5.3452816	0.01641264	0.22975	21.0	66.98163771629333
15	-510.27972	101.39859	-368.79562	-652.2242	1000.0	-48.618702	6.2712884	36.060516	-51.80545	64000	-3.9100648e-08	401.43777	-0.01457929	-47.129913	5.272221	0.020993914	0.2465	5.0	71.5854423046112
16	-544.3392	39.123657	-500.2607	-598.62585	1000.0	-47.699993	5.1595016	16.227156	-51.41722	68000	1.859665e-08	328.01596	-0.014808666	-28.341827	5.3167734	0.01588716	0.1995	6.0	75.87553548812866
17	-482.93832	75.65982	-383.4238	-595.029	1000.0	-48.23514	3.819546	1.3840717	-51.216366	72000	-2.4318695e-08	349.96625	-0.041690968	-38.22769	5.326953	0.016368402	0.206	18.0	80.19716334342957
18	-515.5687	33.215885	-460.51978	-546.53577	1000.0	-44.761547	5.669744	7.755827	-50.58702	76000	9.536744e-10	445.8997	-0.017233739	-41.488556	5.24747	0.015740238	0.24875	6.0	84.36831140518188
19	-564.4336	69.37399	-492.52344	-679.12695	1000.0	-43.51354	6.096949	-2.4645824	-50.937046	80000	-3.4928323e-08	527.4422	-0.05784276	-77.2554	5.233463	0.015727121	0.2855	32.0	88.86408281326294
20	-564.3144	111.18471	-407.301	-720.7018	1000.0	-47.923313	6.2078347	-4.0314255	-52.835075	84000	1.6689301e-09	493.79144	-0.042893693	-48.858185	5.228691	0.015818382	0.20325	17.0	93.59810876846313
21	-528.56616	89.78857	-449.91364	-680.5356	1000.0	-48.560986	5.51722	-2.2258196	-54.005543	88000	-2.7656554e-08	363.29037	-0.017896105	-49.26355	5.15039	0.015726784	0.19	6.0	97.92330694198608
22	-466.10623	27.1206	-442.02853	-512.15796	1000.0	-39.972008	9.977225	-18.24572	-54.62229	92000	9.596348e-09	262.16864	-0.017894281	-57.970963	5.235207	0.014489068	0.23475	6.0	102.35802578926086
23	-460.3791	16.779694	-443.06342	-479.0856	1000.0	-41.03796	5.57142	-7.8771834	-54.38764	96000	6.7949295e-09	191.43791	-0.016085442	-33.18213	5.225074	0.018046532	0.24175	5.0	106.6244101524353
24	-459.12488	39.069683	-407.35114	-512.2404	1000.0	-37.29253	12.949406	27.83177	-54.12312	100000	2.503395e-09	499.97067	-0.048552796	-175.9083	5.2390623	0.015226459	0.2495	21.0	111.05945062637329
25	-481.45288	54.125835	-391.6176	-535.0041	1000.0	-40.41383	5.7872925	6.448596	-54.105034	104000	7.629395e-09	351.9617	-0.045876835	-57.49292	5.210721	0.015717393	0.23075	21.0	115.55119514465332
26	-495.3474	84.4396	-383.3058	-620.8276	1000.0	-45.701603	8.593792	15.948284	-54.863247	108000	4.768372e-10	435.94586	-0.016955087	-59.401733	5.152237	0.015383181	0.2245	6.0	119.61556100845337
27	-412.37988	12.155969	-392.00067	-423.94263	1000.0	-38.239147	6.7469115	-11.351175	-55.07536	112000	2.0503998e-08	321.02496	-0.04383168	-80.471436	5.140176	0.015957873	0.232	19.0	123.88247776031494
28	-540.1231	91.713806	-408.24808	-666.7336	1000.0	-37.23723	9.227123	18.387022	-54.83846	116000	3.8146974e-09	496.31802	-0.013577548	-189.36066	5.1567206	0.019884255	0.23325	5.0	128.42675948143005
29	-508.98602	121.85758	-383.32156	-699.17267	1000.0	-47.50077	7.1138887	4.5708	-56.451576	120000	-1.1920929e-09	445.88284	-0.017811056	-47.744293	5.1647277	0.019753607	0.26	6.0	132.74135994911194
30	-402.91638	58.850708	-347.31583	-496.67343	1000.0	-40.773983	8.846256	22.11178	-56.698074	124000	-1.4305114e-08	316.98093	-0.046335097	-79.0284	5.1227555	0.016513774	0.21425	20.0	137.534282207489
31	-400.0161	77.110245	-318.2864	-497.59164	1000.0	-36.17292	6.4931736	7.5503335	-55.6699	128000	3.5762786e-09	216.64041	-0.013411556	-32.62622	5.0775275	0.020748429	0.245	5.0	141.86374521255493
32	-420.67126	54.34069	-328.79474	-470.3338	1000.0	-35.60705	6.2023263	18.190556	-55.398285	132000	9.894371e-09	195.75746	-0.012518804	-39.98552	5.096543	0.017068524	0.23175	5.0	146.27791953086853
33	-510.63916	22.866926	-491.1534	-549.5717	1000.0	-36.561592	8.619455	23.928947	-54.588474	136000	-1.7762185e-08	549.15137	-0.043919764	-204.87537	5.1540756	0.015733032	0.19925	20.0	150.6949427127838
34	-352.66293	39.529064	-290.17078	-393.42404	1000.0	-41.15376	5.924758	15.777336	-56.918385	140000	-9.417534e-09	390.9192	-0.016481455	-151.76398	5.112197	0.018628404	0.2655	6.0	154.75451016426086
35	-398.75903	78.38827	-299.60934	-518.67566	1000.0	-32.691433	8.567335	31.094563	-55.20081	144000	-2.2649764e-09	321.9089	-0.044546068	-65.716125	5.086371	0.015793674	0.22475	22.0	159.41720390319824
36	-389.68384	15.5255	-374.3648	-415.62274	1000.0	-36.32227	4.445864	4.3679585	-55.060207	148000	3.8146974e-09	177.66116	-0.04667615	-19.579254	5.1259284	0.016708756	0.219	22.0	163.77228713035583
37	-428.80048	74.12401	-306.7134	-504.11255	1000.0	-35.904575	3.9903305	4.802443	-54.40686	152000	-4.4107438e-09	196.3631	-0.014880361	-29.803177	5.038446	0.016940616	0.24525	5.0	168.0069398880005
38	-385.58093	77.06012	-280.10428	-497.61383	1000.0	-36.169804	8.131635	27.662865	-55.46995	156000	-2.6702882e-08	258.90207	-0.017663006	-36.569122	5.059877	0.016444935	0.216	7.0	172.47733902931213
39	-402.63257	28.976131	-362.03314	-443.49915	1000.0	-34.74754	4.1161904	-2.8420773	-53.442738	160000	8.106232e-09	151.34085	-0.01593604	-16.67929	5.038384	0.01625139	0.18175	6.0	176.88345861434937
40	-373.87054	52.18912	-289.30026	-431.29257	1000.0	-34.343903	7.0251064	13.324621	-55.330948	164000	3.8146972e-08	193.71109	-0.014591505	-39.28125	5.0071588	0.021897048	0.26975	5.0	181.39688301086426
41	-381.6305	81.04651	-284.18875	-470.003	1000.0	-36.149452	7.070851	-5.6271296	-53.604576	168000	-9.536744e-10	302.1955	-0.012292408	-46.57988	5.043456	0.017350025	0.25875	5.0	185.77082204818726
