Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
1	-280.96835	54.940346	-188.85994	-361.2141	-284.3009	60.139397	-209.16644	-383.39636	1000.0	1000.0	5000	6.2825236	5.4687595	33.54828	-3.4880943	6.282538	5.469311	32.464115	-4.1612544	7.313056	5.5547876	33.668213	-11.872846	-1.6880827	2.7381172	69.83861	-13.766307	-7.584943	0.12914518	0.12558275	0.2566699	40.24424505233765
2	-252.66936	28.093918	-217.66452	-299.11063	-275.30194	96.807106	-156.7224	-525.61237	1000.0	1000.0	10000	27.639301	8.254932	61.405506	-0.60796785	27.639608	8.255071	61.52756	-1.0428908	29.201433	8.491814	65.31631	2.9597154	0.45534295	3.4787946	23.36201	-15.377412	-29.902754	0.30354857	0.29648265	0.6167182	80.52658081054688
3	-1.0218382	172.50645	199.47511	-313.60748	1028.7512	373.38516	1334.4791	133.30228	1000.0	1000.0	15000	45.274273	10.594334	79.85485	22.861734	45.274326	10.593782	79.68974	22.848858	46.174206	10.683072	79.702194	24.884037	-0.9174539	3.1684575	28.391094	-13.506888	-46.87138	0.40807626	0.40219188	0.7963257	123.61485600471497
4	859.35583	359.52438	1083.472	146.45447	1914.4014	346.85117	2098.0845	881.95636	1000.0	1000.0	20000	49.018497	14.402292	92.738785	22.059275	49.018597	14.402228	93.13013	21.737518	49.644203	14.294703	91.994064	24.325577	-1.78056	2.5182936	23.620289	-13.361814	-50.233593	0.4027981	0.40245795	0.7247787	167.0819993019104
5	1626.3691	496.34113	2299.2087	1060.3451	2604.427	55.998253	2719.2366	2546.1558	1000.0	1000.0	25000	58.666096	20.105404	116.25712	23.041218	58.66602	20.105833	117.14095	22.499651	59.31091	19.886354	115.34776	24.54858	-1.1379986	2.8598022	33.11037	-13.522258	-59.943718	0.6010984	0.5938946	0.99770314	210.6573462486267
6	2455.2114	209.74641	2731.2412	2175.763	3413.1577	64.20788	3507.204	3330.931	1000.0	1000.0	30000	76.3761	29.023647	151.33846	23.85139	76.37621	29.023659	149.91501	23.257	77.05857	28.664974	151.74298	24.999344	-0.14628795	3.308099	28.984215	-16.504362	-77.81425	0.91063356	0.9042	1.4592661	254.82828187942505
7	2799.2612	357.09378	3181.8506	2151.1465	3807.437	94.64413	3996.1926	3598.818	1000.0	1000.0	35000	97.378395	38.035587	175.29767	23.648247	97.37849	38.035652	175.92424	23.190434	98.03646	37.58304	175.43713	24.49283	0.45006308	3.5431826	45.517838	-14.002841	-98.91208	1.351827	1.3221017	2.0045843	298.26015543937683
8	3324.2554	130.58807	3459.035	3107.3228	4113.695	92.21395	4285.7666	3928.75	1000.0	1000.0	40000	120.29154	45.53806	206.02235	22.253445	120.29156	45.538486	209.91656	23.058924	120.8895	44.999466	206.51295	25.334381	0.8875334	3.6664045	27.721127	-14.684192	-121.8243	1.6164609	1.5810834	2.3583992	342.20451283454895
9	3614.724	195.59862	3946.4153	3388.3918	4487.3633	154.38052	4689.972	4171.32	1000.0	1000.0	45000	143.03766	52.441727	234.47493	23.355839	143.03812	52.441856	234.43852	21.951866	143.57439	51.856575	235.32661	24.537077	1.2687378	3.7722394	29.11401	-13.418471	-144.553	1.7512544	1.7128072	2.5848858	385.8950021266937
10	3785.4038	207.39114	4063.8694	3436.5464	4381.039	90.79043	4508.9585	4240.5825	1000.0	1000.0	50000	165.17412	58.44519	262.6273	21.547045	165.17435	58.44444	262.0901	21.674423	165.65758	57.82703	261.57697	23.824762	1.5977619	3.8906846	30.578667	-13.296337	-166.66037	2.0512438	2.043336	2.960474	430.02440118789673
