Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-41.928642	68.61912	10.918138	-301.73782	-1057.0073	719.37244	-27.045002	-1984.2247	137.8	641.8	5000	0.420504	2.6568642	18.359856	-12.65289	0.42020535	2.65759	19.116175	-12.438251	-1.5650933	0.30203357	40.37556552886963
2	-60.98596	103.17871	28.5756	-367.52618	-36.262848	18.57926	-14.360883	-73.6844	186.14285	20.5	10000	9.354049	5.9541993	42.24058	-8.141473	9.3543415	5.954672	42.1987	-8.019584	-12.243345	1.2994014	77.4049425125122
3	-150.35219	486.97162	186.65312	-1936.5481	2.439462	50.234104	82.52078	-111.49717	252.90909	226.6	15000	17.018614	7.440034	54.18032	-12.51138	17.01903	7.4431567	54.38791	-18.975227	-19.3687	3.0682971	123.03033256530762
4	19.534254	46.24644	78.10435	-141.35852	79.23746	78.42514	298.84448	6.725973	203.68182	193.3	20000	17.054249	9.82086	55.6714	-16.581362	17.054018	9.824559	54.332253	-15.200614	-19.21122	3.2636971	161.86588740348816
5	181.69075	144.77039	470.88455	9.283149	160.58101	220.16246	608.2239	5.1169314	535.44446	286.5	25000	16.303198	10.525166	50.471287	-18.06412	16.302765	10.526167	51.467113	-22.87466	-18.310446	2.8282342	204.13640809059143
6	138.60612	184.75333	551.70874	0.10501847	247.10335	261.08658	694.3792	-0.9406338	309.5625	442.4	30000	15.679495	10.504261	51.046715	-17.912348	15.679694	10.504479	51.70212	-18.268684	-17.555725	2.4769998	249.57679438591003
7	370.85846	249.5844	682.16785	51.687023	171.60667	161.27206	553.3275	11.401693	680.5	334.6	35000	16.327164	9.561391	47.799816	-17.55392	16.32743	9.562242	49.17821	-17.186768	-18.055975	2.372963	296.87077736854553
8	182.77014	195.67003	690.26385	9.626255	430.9257	279.50665	799.9882	8.985532	333.375	665.6	40000	17.696999	8.651634	48.895397	-19.491308	17.697435	8.651574	50.345287	-12.64919	-19.298193	2.5086057	349.2331168651581
9	597.1454	59.95014	656.4867	495.13837	331.91635	294.80014	737.6729	15.659541	1000.0	473.5	45000	19.709015	8.047603	50.798763	-21.335747	19.709316	8.048157	51.43288	-17.191946	-21.238106	2.5229692	395.71901297569275
10	514.8594	214.5001	661.61993	42.30835	229.1854	220.86542	757.0714	10.692762	840.3333	336.3	50000	21.76948	7.579673	53.457924	-22.605291	21.76984	7.580788	54.093124	-20.193636	-23.272995	2.3913474	441.1683030128479
11	225.82375	207.90836	615.2934	10.27351	403.66376	339.8238	781.5847	21.00704	361.66666	541.6	55000	23.620247	7.304388	53.69843	-22.563837	23.620314	7.305673	57.08936	-18.047382	-25.040329	2.5109682	485.42409801483154
12	430.1507	244.69243	689.9509	53.20366	481.9292	321.90598	953.7496	74.97409	696.375	602.1	60000	25.327541	7.2226925	56.028194	-14.818211	25.327684	7.2223797	56.192154	-12.619839	-26.727922	2.637425	537.5586009025574
13	223.48868	257.37125	721.76715	11.759517	449.74088	312.1687	873.32117	67.923584	321.46155	575.2	65000	27.109074	7.127968	58.380203	-15.051061	27.109217	7.128365	59.20018	-15.193946	-28.45969	2.8237119	581.1244449615479
14	508.5527	232.29936	732.62946	128.3468	617.4566	271.04837	1007.89764	274.9325	726.125	698.9	70000	28.438168	7.1256585	58.75342	-17.552727	28.43838	7.127487	57.582767	-14.824733	-29.753883	2.858866	636.4722774028778
15	267.0715	301.71674	754.5776	-7.667732	510.46353	286.54266	840.4858	82.620155	392.83334	684.2	75000	29.918447	7.2222743	58.241825	-15.768718	29.918707	7.222578	58.448364	-14.718713	-31.223639	2.9086	685.5879952907562
16	337.88538	304.38547	728.5089	16.601076	764.7567	226.5173	1027.0028	162.80794	438.08334	877.6	80000	31.308788	7.1105547	61.7391	-21.05837	31.308962	7.1120996	60.01993	-17.121521	-32.570686	2.983961	740.2619247436523
17	390.967	303.5866	829.61475	25.222258	452.02628	332.026	797.927	12.616041	457.4	602.7	85000	32.794216	7.0444674	60.97452	-35.083622	32.79422	7.047031	62.403027	-18.070126	-34.024807	3.0826933	786.8651838302612
18	815.5309	132.37642	1071.2241	711.0221	340.3143	333.49573	866.84875	12.565846	961.0	393.5	90000	34.159775	7.0577607	63.16142	-15.710746	34.159733	7.059467	63.544216	-16.38089	-35.36245	3.197538	831.6080629825592
19	302.28073	326.76523	924.27264	15.434445	512.5371	307.5713	888.0688	10.066659	368.07144	596.6	95000	35.64092	7.095148	67.32349	-15.262291	35.640785	7.097547	65.00555	-13.67218	-36.854923	3.4377918	882.7725863456726
20	554.89703	326.67786	813.9138	5.941137	577.1738	386.197	1159.0619	14.8679	729.8571	641.8	100000	37.138966	7.1486163	68.37209	-22.187622	37.138866	7.1521873	69.69626	-14.801382	-38.341877	3.507338	934.3910026550293
21	197.60359	270.51788	914.11835	0.14123645	453.37833	361.36075	949.7146	33.843666	226.65	471.9	105000	38.38004	7.2141066	71.90352	-15.995114	38.380047	7.2162232	69.91997	-16.220552	-39.585453	3.7146485	979.2233505249023
22	413.22556	372.368	937.7554	-12.089564	607.96265	434.2218	1238.2429	21.618383	507.72726	584.0	110000	39.44198	7.2086143	70.53721	-18.237934	39.44205	7.2114477	70.36239	-19.958818	-40.650276	4.0131087	1031.1010744571686
23	531.062	345.4791	947.1621	11.490656	539.34283	383.60245	1083.2859	23.45441	600.0	503.7	115000	40.481888	7.1916356	74.52044	-21.564451	40.48189	7.1970673	74.89069	-24.45422	-41.68173	3.961113	1077.144723892212
24	635.5144	303.40527	977.74835	84.64941	769.3451	379.18637	1343.5461	34.461433	691.5	809.6	120000	41.532867	7.2559447	74.44216	-18.081465	41.53274	7.258452	77.51104	-23.65116	-42.72492	3.9564197	1133.6163823604584
25	307.91174	320.15317	944.4154	13.428046	619.36414	381.53552	1103.9814	18.31192	318.3846	652.0	125000	42.631927	7.3711524	75.21853	-23.946482	42.631714	7.375402	77.71425	-18.377798	-43.793526	4.31601	1179.0036833286285
26	714.6694	300.19107	1061.7087	38.35115	688.33	287.80826	1038.8788	47.566196	737.25	712.2	130000	43.587177	7.531287	76.34556	-17.380653	43.58716	7.5342193	79.38087	-20.122158	-44.77766	4.368399	1236.8044393062592
27	569.367	323.38232	1025.6097	158.02284	793.0099	385.57504	1147.633	46.551044	536.75	754.8	135000	44.71229	7.708704	77.56011	-18.166985	44.71217	7.71128	77.69439	-35.47921	-45.876347	4.515747	1285.3781065940857
28	594.5711	448.86002	1246.9207	6.2124515	619.86725	431.28702	1342.1534	28.152613	570.55554	578.3	140000	45.738987	7.936463	78.437225	-27.41242	45.739017	7.9390526	79.594315	-27.475628	-46.902	4.603648	1335.661702632904
29	772.87506	343.496	1189.5194	66.551476	467.60294	320.02405	894.0928	-6.9068794	843.5	436.2	145000	46.69808	8.171037	80.51835	-50.014023	46.697796	8.17474	82.1316	-44.65057	-47.871685	4.541448	1383.5163218975067
30	661.75323	393.80432	1139.9464	-2.1151645	632.20935	424.0502	1198.0612	26.937613	648.5714	637.6	150000	47.647938	8.417206	82.23697	-39.988255	47.647873	8.418611	83.31036	-26.05705	-48.833366	4.525556	1431.0951144695282
31	1077.4635	279.1012	1368.1124	719.91974	537.04663	555.02167	1702.2496	12.681433	1000.0	462.9	155000	48.613686	8.752892	82.97208	-20.68631	48.61361	8.755612	84.66025	-28.543816	-49.789986	4.671261	1479.6419727802277
32	749.16943	474.71066	1612.1759	21.70581	985.5773	414.94522	1667.4541	38.726624	747.0	738.3	160000	49.449955	9.161814	86.50345	-30.633728	49.44993	9.162889	87.10242	-25.250912	-50.64161	4.7852864	1533.116498708725
33	633.8572	437.4208	1344.489	30.332424	800.3582	536.7142	1819.9656	89.828514	524.8	650.7	165000	50.52601	9.68507	88.32537	-32.144707	50.5258	9.68789	89.75028	-24.735939	-51.7426	5.1603146	1586.1700897216797
34	511.69302	408.65704	1118.7861	50.944603	738.6379	329.57327	1262.4364	198.83617	452.08334	731.0	170000	51.600304	10.293561	91.04349	-23.975525	51.60007	10.29644	90.24435	-24.698303	-52.85287	5.651315	1641.7614877223969
35	657.33417	252.74896	949.6707	299.83862	685.89484	506.515	1408.6362	16.0954	832.6	595.9	175000	52.229866	10.877451	93.15011	-24.16301	52.2292	10.881761	92.86249	-42.37312	-53.473522	5.889531	1686.5295102596283
