Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-257.466	65.16662	-136.57014	-329.39053	-609.64575	30.552128	-567.95496	-679.40814	1000.0	1000.0	5000	0.68252414	2.34288	14.656684	-7.705213	0.6830721	2.3425384	14.457759	-7.848616	-1.675188	0.35500106	49.16700887680054
2	-337.7094	87.325096	-232.0581	-477.46695	-514.5355	137.00671	-133.82928	-628.4272	1000.0	1000.0	10000	10.670843	5.8124375	34.471645	-6.8234434	10.671316	5.8117905	34.322716	-6.5287085	-13.184297	1.2644866	99.73080205917358
3	-421.83276	145.79637	-182.67972	-611.75696	-309.02545	211.91927	38.50571	-610.1834	1000.0	1000.0	15000	21.23824	8.861242	49.937443	0.5550108	21.23845	8.860866	51.923073	0.6691221	-23.094234	2.3080719	154.63127541542053
4	0.4377823	330.3506	558.2167	-340.45175	366.79016	520.5447	1334.8813	-236.63063	1000.0	1000.0	20000	21.406511	11.64839	72.71092	-2.9486663	21.406803	11.648046	70.32988	-3.638194	-22.532818	2.2432106	209.32990646362305
5	647.3646	737.213	1892.296	-21.659458	1421.0853	533.0833	1996.6901	370.49426	1000.0	1000.0	25000	22.137918	16.682732	89.30176	-6.5998626	22.137894	16.682655	87.45193	-7.7689557	-23.320278	3.6064153	262.1977159976959
6	2116.3257	460.66174	2563.0732	1548.0275	3005.8276	303.58588	3374.5466	2168.3767	1000.0	1000.0	30000	32.006855	26.16869	117.53717	-11.368647	32.006763	26.169437	117.9717	-10.587164	-33.61442	5.8426075	314.1776535511017
7	2504.2363	1010.6567	3258.29	511.04868	2299.226	1060.6289	3284.501	485.28885	1000.0	1000.0	35000	48.160625	37.70382	156.87729	-12.070984	48.16022	37.704536	155.28629	-11.81102	-50.139442	8.67609	368.05945229530334
8	2138.4478	1377.8225	3851.883	577.62866	2083.3525	1229.2898	3717.441	305.9028	1000.0	1000.0	40000	64.05166	49.48756	183.1335	-15.679068	64.05148	49.488308	183.84013	-15.216525	-66.09974	11.449611	424.492493391037
9	3335.0645	1005.67896	4169.2656	1407.2867	4367.6167	92.00128	4495.7305	4211.031	1000.0	1000.0	45000	80.653435	62.09543	218.60416	-19.568325	80.65319	62.096638	218.73286	-19.389862	-82.920715	14.780653	477.9088134765625
10	4031.317	548.1009	4498.1553	2968.0012	4368.564	1018.1506	4913.746	1342.1458	1000.0	1000.0	50000	103.25195	73.74775	240.97636	-21.263124	103.251884	73.74864	243.22601	-19.911009	-105.59825	17.229618	530.80797123909
11	4527.105	375.9631	5033.6436	3862.7878	4833.1475	115.365166	5068.1167	4688.026	1000.0	1000.0	55000	126.35316	84.691444	270.73828	-22.947935	126.35268	84.69251	272.92642	-21.986835	-128.81938	19.400856	584.4636337757111
12	4656.2617	198.34178	4881.38	4328.5435	5273.254	111.245476	5435.1978	5098.1704	1000.0	1000.0	60000	149.2577	94.0752	302.44928	-22.543257	149.25764	94.07582	303.12427	-22.680746	-151.7464	23.393772	640.3135004043579
13	4550.6646	1182.2472	5214.1084	2188.867	5455.2544	175.14511	5823.354	5152.0474	1000.0	1000.0	65000	171.61465	102.84407	328.33252	-23.558588	171.61462	102.84512	324.74667	-22.781906	-174.41638	25.269848	695.8060138225555
14	5291.975	98.67152	5429.6763	5168.202	5397.2373	126.098495	5658.8223	5235.8906	1000.0	1000.0	70000	193.12753	110.91117	349.85474	-50.40066	193.12782	110.91244	351.86993	-47.71672	-196.06213	27.712938	750.3004307746887
15	5436.1357	174.28711	5681.468	5178.116	5371.245	66.70023	5484.519	5236.497	1000.0	1000.0	75000	214.68752	117.88646	372.96158	-27.13532	214.68768	117.88842	373.30136	-29.778912	-217.52126	29.933369	803.7104177474976
16	5503.62	218.00485	5743.324	5139.193	5652.954	85.50184	5795.1187	5492.126	1000.0	1000.0	80000	235.45494	123.86715	388.91293	-30.794155	235.45485	123.8685	393.29123	-26.167828	-238.18112	30.609581	858.5479934215546
17	5708.104	215.3921	6011.882	5466.6543	5994.947	106.99351	6152.044	5755.7725	1000.0	1000.0	85000	255.55194	128.72797	414.32806	-28.83113	255.55151	128.72945	412.33127	-30.064188	-258.4332	30.392143	914.7915236949921
18	5384.361	289.26672	5642.034	4835.5713	6134.0664	82.08117	6234.0317	5956.1016	1000.0	1000.0	90000	274.8129	132.80104	423.2077	-32.42802	274.81314	132.80206	426.421	-26.503635	-277.6268	31.797663	968.1489953994751
19	5876.6724	120.89111	6046.72	5686.005	6059.789	91.203354	6202.349	5872.9355	1000.0	1000.0	95000	292.45526	136.28154	444.47284	-34.862843	292.45563	136.28172	443.48123	-30.792295	-295.3983	34.082096	1021.1656982898712
20	5945.6016	116.53615	6101.2456	5804.432	6343.1978	94.774734	6459.161	6189.3755	1000.0	1000.0	100000	309.3752	139.11415	453.78265	-31.374582	309.3757	139.11382	455.65894	-31.040785	-311.97906	33.802498	1073.7991485595703
21	5957.732	116.0332	6068.441	5749.1665	6346.8545	122.086044	6565.573	6097.395	1000.0	1000.0	105000	325.6507	141.62317	468.0229	-30.983341	325.6511	141.62245	467.18665	-40.527477	-328.1161	33.613045	1129.9348883628845
22	5967.273	149.371	6144.72	5733.766	6459.7563	92.13294	6607.4263	6277.6895	1000.0	1000.0	110000	340.54944	143.65143	484.01462	-39.542873	340.54947	143.65108	480.3011	-37.10112	-343.32404	34.03048	1187.0494458675385
23	6335.15	131.88733	6504.3975	6162.0566	6727.06	118.463684	6891.731	6477.7124	1000.0	1000.0	115000	354.9551	145.707	495.97693	-42.56546	354.95572	145.706	497.83273	-45.87745	-357.71048	33.08526	1241.2170329093933
24	6389.552	132.88904	6597.135	6188.47	5993.7505	1022.8273	6434.9717	2934.6626	1000.0	1000.0	120000	369.61368	146.88382	509.8896	-38.374866	369.61398	146.88359	511.12296	-44.075703	-372.2624	33.613197	1294.3569798469543
25	6241.8926	116.95448	6358.667	6045.9873	6401.8267	59.91036	6488.7305	6311.9116	1000.0	1000.0	125000	382.87534	149.08209	525.13116	-34.88491	382.8757	149.08078	524.9333	-29.95096	-385.76712	34.221375	1349.053204536438
26	6378.224	178.79587	6595.661	6133.8457	6664.1577	100.73588	6845.3174	6492.304	1000.0	1000.0	130000	395.47638	151.03458	532.8927	-34.229973	395.4768	151.0345	533.2669	-34.22765	-397.7863	35.28135	1406.9159591197968
27	6413.4326	208.22209	6646.226	6029.2666	6318.6133	839.0515	6848.441	3862.7358	1000.0	1000.0	135000	407.3693	152.21289	547.61926	-32.844414	407.36935	152.21179	550.75	-37.44362	-410.2823	34.71179	1462.908047914505
28	6353.87	148.39575	6631.4106	6219.3384	5473.96	1794.9275	6547.8174	1131.9768	1000.0	1000.0	140000	418.1364	153.5893	557.1188	-34.469917	418.13654	153.58879	556.6432	-31.75185	-420.54675	36.262203	1517.3392777442932
29	6442.3745	226.08131	6651.408	6015.43	6980.1143	89.05019	7138.54	6833.1875	1000.0	1000.0	145000	428.718	154.11491	566.00476	-32.207882	428.7186	154.11418	567.0138	-36.0142	-431.0706	36.591927	1569.908147096634
30	6703.5635	96.9103	6837.119	6563.8936	6699.37	141.29099	6949.0347	6386.329	1000.0	1000.0	150000	438.45117	154.98155	572.96594	-44.132248	438.45193	154.97981	574.3077	-43.054844	-440.4611	37.352245	1623.8357276916504
31	6708.583	82.897736	6820.995	6573.8936	6645.589	118.23788	6768.166	6326.7515	1000.0	1000.0	155000	448.01532	154.96704	582.76624	-48.159977	448.01532	154.96756	583.06256	-45.039635	-450.4474	38.03827	1681.3204414844513
32	6581.7666	210.78183	6839.623	6200.049	6845.7954	132.95206	7008.359	6613.9995	1000.0	1000.0	160000	457.15112	154.8345	589.7695	-48.86391	457.1518	154.83307	587.5022	-62.824745	-459.77414	38.022243	1735.8318362236023
33	6803.843	216.31331	7186.775	6514.224	7391.5728	99.64052	7534.7437	7241.1953	1000.0	1000.0	165000	465.1904	155.15236	595.2638	-66.58875	465.19092	155.15155	594.25586	-62.490864	-467.6986	37.293926	1789.004085302353
34	6297.362	1583.7517	7206.0264	3134.612	7241.0713	126.332535	7350.062	6992.461	1000.0	1000.0	170000	472.00836	157.02615	602.4408	-105.92884	472.00903	157.02573	601.1973	-79.386024	-474.5586	39.07416	1843.6768226623535
35	6849.5845	166.77664	7134.8516	6677.629	7374.7764	143.33441	7545.0713	7001.385	1000.0	1000.0	175000	479.1693	157.84677	611.1633	-163.48569	479.1701	157.84479	612.79974	-114.889786	-481.4897	42.174732	1900.3929648399353
36	7063.448	202.61235	7312.542	6711.9355	7628.129	149.60243	7830.4014	7385.586	1000.0	1000.0	180000	485.98895	158.93158	616.6274	-93.31587	485.98956	158.9313	617.2473	-74.35834	-488.86444	40.775787	1957.0994291305542
37	7127.1523	92.41689	7297.3633	7031.352	7601.2744	58.937935	7750.2383	7522.964	1000.0	1000.0	185000	492.81628	158.92035	623.3581	-61.533504	492.81683	158.91862	627.49207	-65.7597	-495.24677	41.125175	2011.106585264206
38	7328.8936	88.00227	7415.2627	7191.4116	7601.0376	82.789856	7755.2227	7483.935	1000.0	1000.0	190000	500.10114	158.70566	633.6232	-52.825996	500.10196	158.70424	635.15295	-52.26286	-502.5994	39.10583	2065.087049484253
39	7178.7393	432.91214	7570.147	6401.0005	7751.2134	101.52473	7903.867	7576.1904	1000.0	1000.0	195000	506.5677	159.63708	641.10724	-61.43031	506.56845	159.63658	641.90094	-58.863483	-508.94464	40.597157	2118.891017436981
40	7459.3345	115.568825	7673.8657	7349.195	7924.8994	215.30939	8325.639	7475.8716	1000.0	1000.0	200000	513.51965	159.54523	648.20496	-68.656944	513.52026	159.54364	647.6501	-77.03723	-515.9719	41.830933	2176.336992263794
41	7455.7407	85.06337	7584.279	7320.8057	7664.2095	112.030525	7850.9	7448.6484	1000.0	1000.0	205000	520.17084	159.8175	661.4407	-69.36936	520.1715	159.81647	660.6014	-57.478302	-522.6433	42.55358	2235.006514072418
42	7536.624	200.55856	7845.8237	7305.5337	8045.052	73.76495	8148.512	7901.0024	1000.0	1000.0	210000	526.9743	159.81169	673.2084	-62.297344	526.97485	159.81021	672.30176	-89.51145	-529.7716	42.989143	2290.152557849884
43	7596.4663	129.61713	7812.5576	7448.8643	8224.08	117.60625	8426.05	8101.156	1000.0	1000.0	215000	533.787	160.014	678.8839	-64.820595	533.7881	160.01231	678.00574	-71.49541	-535.8498	43.205738	2347.775059938431
44	7609.7305	329.35355	7961.1465	7004.0977	8318.269	190.4779	8596.341	7922.858	1000.0	1000.0	220000	539.2231	161.12035	691.6962	-70.22174	539.2235	161.11844	689.6577	-60.229424	-541.6388	44.59948	2404.9544281959534
45	7829.6006	263.52014	8098.435	7367.3296	8408.753	67.236046	8506.274	8298.279	1000.0	1000.0	225000	545.38525	161.25005	695.4621	-71.79094	545.38617	161.24835	693.09235	-59.18042	-548.0771	45.07956	2463.0453958511353
46	7768.8076	152.66599	7953.4116	7612.3574	8033.659	122.784386	8218.1	7787.3257	1000.0	1000.0	230000	551.82776	161.09949	701.6284	-63.667953	551.82855	161.09743	701.8338	-85.65973	-554.3259	47.746807	2520.3122379779816
47	7760.279	145.54976	7933.8584	7511.873	7989.374	192.72383	8166.5425	7457.1084	1000.0	1000.0	235000	557.70184	161.26569	705.1308	-77.19804	557.70294	161.26414	705.9166	-60.76146	-560.2015	47.549774	2578.19318652153
48	7857.672	99.86264	7988.6597	7717.121	8261.553	107.95657	8426.566	8112.0522	1000.0	1000.0	240000	563.62787	162.0958	712.6439	-57.911827	563.6282	162.09406	711.1503	-69.244606	-566.0626	47.83365	2634.5546684265137
49	7924.357	190.40321	8277.781	7735.9927	8425.729	104.962074	8588.06	8194.069	1000.0	1000.0	245000	570.0359	160.98642	716.5264	-95.36478	570.0366	160.9845	716.1226	-83.33088	-572.4866	49.928284	2689.675634622574
50	7907.16	169.32074	8085.925	7638.2656	8615.851	159.91463	8917.513	8344.528	1000.0	1000.0	250000	575.24335	161.65051	720.3877	-81.43444	575.24396	161.64961	720.68524	-71.23438	-577.59576	48.657	2745.193546772003
51	7826.639	344.58722	8068.3115	7141.6064	8125.78	77.38173	8240.05	7944.1997	1000.0	1000.0	255000	580.86646	161.37769	727.8433	-96.97482	580.8674	161.3752	728.43115	-103.165855	-583.2766	49.558475	2801.1219279766083
52	8146.1016	157.35287	8307.027	7894.7607	8653.787	85.03876	8790.229	8535.861	1000.0	1000.0	260000	586.7825	160.4757	732.46765	-63.866547	586.7831	160.47409	732.5946	-55.670155	-589.5531	51.175117	2856.085905313492
53	8185.668	34.181923	8217.405	8121.8086	8381.338	72.41559	8468.08	8203.747	1000.0	1000.0	265000	591.9795	160.77051	736.9965	-76.04532	591.98016	160.76797	735.8594	-77.8265	-594.4026	49.73523	2909.47039604187
54	8143.0376	108.22334	8255.977	7979.696	8535.436	145.61018	8800.815	8380.498	1000.0	1000.0	270000	595.86835	161.47308	745.98663	-103.4914	595.8693	161.4703	745.5335	-115.90037	-598.5466	50.06483	2963.746204853058
55	8186.802	227.77307	8444.173	7768.692	8811.709	154.86945	8990.569	8481.963	1000.0	1000.0	275000	601.0208	161.45409	751.47925	-83.851135	601.02155	161.45245	753.9092	-101.278984	-603.6419	49.854656	3017.882787466049
56	8433.861	243.7188	8650.216	7976.644	8609.162	193.39859	8762.758	8133.134	1000.0	1000.0	280000	605.78046	162.14272	759.18805	-91.81913	605.78094	162.14064	759.85077	-94.00804	-608.3878	49.50323	3074.5251512527466
57	8359.822	143.76048	8579.618	8158.591	8878.385	77.73885	8996.897	8748.61	1000.0	1000.0	285000	611.4041	161.08704	765.28894	-83.31332	611.405	161.08557	763.9818	-77.56257	-613.8794	49.21674	3131.2377030849457
58	8187.711	339.90555	8571.072	7562.186	8991.193	119.90831	9224.597	8787.665	1000.0	1000.0	290000	615.8167	162.16234	768.268	-90.21433	615.8171	162.16016	768.82263	-95.859764	-618.4352	50.33062	3186.34414768219
59	8643.777	175.6121	8903.164	8444.78	8842.542	131.64172	9032.139	8665.16	1000.0	1000.0	295000	620.98114	161.57832	775.9502	-90.79601	620.9811	161.57742	774.31476	-93.57511	-623.5547	52.398865	3243.448041677475
60	8501.529	140.31314	8679.479	8320.736	8817.693	143.09016	9055.539	8567.849	1000.0	1000.0	300000	625.93567	161.11456	781.05695	-107.09535	625.93695	161.1117	781.9833	-112.66315	-628.84326	52.16217	3301.077091217041
61	8531.983	89.7696	8632.001	8391.571	9109.43	127.830376	9366.339	8923.544	1000.0	1000.0	305000	630.2893	161.71318	784.3392	-97.14299	630.29	161.71135	785.4008	-85.246346	-632.9668	52.94959	3359.109418153763
62	8568.08	219.55139	8825.045	8159.121	9231.892	128.08037	9349.1045	8892.623	1000.0	1000.0	310000	635.52563	161.80667	787.03827	-108.10501	635.5266	161.80383	787.1709	-97.28063	-638.34467	54.27509	3416.9880249500275
63	8603.659	202.67622	8809.36	8225.812	9210.519	126.9628	9390.27	8942.644	1000.0	1000.0	315000	640.832	161.36258	794.3191	-100.405396	640.832	161.36185	796.57117	-89.75481	-643.7206	55.95346	3474.6507711410522
64	8684.268	317.9035	9025.828	8135.8257	8949.089	146.36996	9134.956	8752.249	1000.0	1000.0	320000	645.0508	161.69539	810.1183	-117.09203	645.0517	161.69292	808.72235	-112.13906	-647.5695	57.192856	3531.3363337516785
65	8674.415	370.29352	9097.565	8003.8105	9309.413	151.05797	9511.031	9088.686	1000.0	1000.0	325000	649.73883	161.61351	812.7548	-86.78374	649.73895	161.61194	814.553	-84.15313	-652.4852	56.111294	3587.623063802719
66	8805.597	133.59753	8895.772	8542.245	8987.201	150.31393	9183.361	8704.994	1000.0	1000.0	330000	653.7014	161.59013	814.8091	-91.77335	653.70197	161.58759	815.40247	-87.918106	-656.5047	58.261524	3642.496241092682
67	8750.604	64.886086	8835.593	8644.869	9293.175	102.96932	9481.415	9148.644	1000.0	1000.0	335000	658.0693	161.82278	821.2369	-108.94852	658.0697	161.82239	822.24426	-88.29919	-661.1312	59.452126	3698.6025052070618
68	8960.46	48.892616	9029.977	8891.24	9324.854	63.76025	9425.402	9207.571	1000.0	1000.0	340000	661.72766	162.19939	823.1348	-81.72777	661.72876	162.19711	822.4115	-87.54094	-664.1549	60.071014	3755.3689393997192
