Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-496.14807	141.947	-280.8963	-635.4216	1000.0	0.014314358	0.83591604	2.2719283	-2.23547	4000	-5.7280065e-08	2701.7244	-0.05426341	-421.05957	0.008977317	0.0	5.4813072681427
1	-736.1232	140.39397	-511.75327	-862.18933	1000.0	-6.1390467	4.1954823	8.799945	-14.63755	8000	-9.727478e-08	4532.441	-0.056889948	-1886.1487	0.008986981	0.0	10.097432136535645
2	-445.20108	110.17618	-307.73022	-615.5491	1000.0	-22.306911	4.4746294	19.930267	-24.629084	12000	-6.2584874e-08	750.00073	-0.055589166	-148.75238	0.009033398	0.0	14.827355146408081
3	-515.7911	64.41265	-445.36533	-594.3378	1000.0	-27.57634	1.5614653	13.195665	-28.03584	16000	4.1127204e-09	1004.7057	-0.056383893	-126.348206	0.009010963	0.0	19.719401597976685
4	-566.46313	83.22598	-445.15524	-680.3164	1000.0	-31.215797	1.9922185	12.932019	-31.68705	20000	-4.8160555e-08	1197.7178	-0.059590362	-170.77026	0.009107025	0.0	24.59536600112915
5	-502.98434	107.59261	-350.5386	-645.22565	1000.0	-35.58111	1.3706084	-13.222428	-36.075066	24000	1.4305115e-09	1082.0945	-0.054716203	-75.71173	0.009072823	0.0	29.57501196861267
6	-583.44446	191.64842	-396.0291	-902.1048	1000.0	-36.49398	5.178226	26.10897	-38.785397	28000	2.0682812e-08	1337.0002	-0.0546038	-143.69348	0.009014789	0.0	34.20605444908142
7	-452.12656	125.88855	-240.08986	-558.0283	1000.0	-38.82083	9.09538	40.06452	-42.510654	32000	1.1920929e-08	700.1326	-0.055713955	-57.54303	0.009130873	0.0	39.074568033218384
8	-451.53677	124.07386	-335.7035	-648.4651	1000.0	-36.833122	9.61601	31.13195	-43.316357	36000	0.0	675.1067	-0.055654585	-72.97662	0.0090874005	0.0	43.79687714576721
9	-264.81378	168.52374	-2.611301	-472.53757	1000.0	-35.05325	12.419715	37.4142	-44.30296	40000	-6.6757204e-09	818.00977	-0.055685293	-249.38202	0.009001604	0.0	48.414283990859985
10	-451.13983	117.26942	-345.3695	-638.5545	1000.0	-26.671677	12.487682	28.920948	-44.05893	44000	-1.0848045e-08	838.6901	-0.054875325	-256.21436	0.008973311	0.0	53.5432505607605
11	-331.6566	45.553112	-283.104	-379.43594	1000.0	-37.605873	8.626043	10.137708	-45.138783	48000	-2.0980835e-08	465.2965	-0.055725414	-131.85345	0.009179991	0.0	58.23414587974548
12	-305.20578	84.04267	-168.19876	-390.92468	1000.0	-27.60998	10.287206	14.043627	-44.593307	52000	1.3351441e-08	554.71936	-0.055410326	-75.6228	0.009200246	0.0	62.9134840965271
13	-378.27942	50.363293	-322.38785	-460.0201	1000.0	-26.555365	11.404076	24.632484	-44.493206	56000	7.033348e-09	619.1955	-0.056233246	-117.31384	0.008946331	0.0	67.57374262809753
14	-271.2499	169.76677	-122.49553	-535.7907	1000.0	-31.389372	10.999895	28.687931	-45.071945	60000	-1.9073487e-09	633.0524	-0.057341818	-211.28809	0.008937789	0.0	72.00005340576172
15	-339.11163	86.23879	-236.78792	-470.4238	1000.0	-22.421831	12.861633	27.328234	-44.77704	64000	-1.0967255e-08	647.79724	-0.054149643	-155.79721	0.009072657	0.0	76.64704036712646
16	-342.50937	123.28753	-195.10556	-518.75946	1000.0	-29.861795	10.620588	18.955374	-45.26573	68000	1.6212464e-08	492.1882	-0.05714889	-69.475006	0.009060194	0.0	81.27160549163818
17	-390.41595	86.64132	-301.05188	-532.0367	1000.0	-29.977297	11.619021	21.27805	-45.4169	72000	-1.9669533e-09	618.27045	-0.057502605	-92.477905	0.009086922	0.0	85.85139155387878
18	-329.8624	70.72717	-276.92532	-450.14313	1000.0	-31.84707	9.077858	14.37846	-45.905754	76000	1.8119811e-08	315.76324	-0.057116386	-104.152115	0.009064209	0.0	90.5661735534668
19	-279.6866	176.82034	-9.081429	-493.0217	1000.0	-26.685738	8.250777	17.437773	-45.52351	80000	-3.0994414e-08	579.2291	-0.056717332	-89.23407	0.009184237	0.0	95.20217227935791
20	-268.54993	41.79903	-215.63849	-332.33215	1000.0	-25.139696	12.289688	21.15411	-45.914585	84000	-1.0251999e-08	350.64792	-0.05338847	-82.59488	0.009046348	0.0	100.18694353103638
21	-191.97845	124.40585	-85.58462	-403.9572	1000.0	-22.142303	7.2655373	3.104563	-45.061653	88000	-1.2755394e-08	336.55	-0.055421613	-60.22821	0.009068454	0.0	104.79044222831726
22	-266.9234	127.89322	-62.08366	-412.09247	1000.0	-18.3896	8.646497	16.87248	-44.413853	92000	-1.0490417e-08	435.97208	-0.05651761	-67.164825	0.009096721	0.0	109.67285370826721
23	-215.58035	51.46213	-162.20503	-299.8537	1000.0	-21.97671	9.576191	13.354684	-45.461796	96000	9.059906e-09	392.21002	-0.05417277	-59.983246	0.009123939	0.0	114.15511751174927
24	-263.46307	68.759125	-175.94537	-359.06485	1000.0	-19.10961	8.293199	10.868064	-44.053253	100000	-1.9550324e-08	375.36484	-0.05622559	-54.697754	0.009140449	0.0	118.59595370292664
25	-219.81702	156.81091	-77.752174	-480.68097	1000.0	-22.86125	8.848825	16.96673	-44.468327	104000	-2.5272369e-08	389.73175	-0.055751327	-171.07043	0.009131475	0.0	123.32487607002258
26	-315.16656	85.986015	-188.19437	-429.3562	1000.0	-21.554539	14.002131	9.528376	-46.00534	108000	3.2484532e-08	354.45938	-0.05711488	-95.97647	0.009054825	0.0	128.05007600784302
27	-217.85211	172.7831	-23.13844	-482.46686	1000.0	-27.37244	12.367525	15.132828	-45.88435	112000	-4.196167e-08	481.42355	-0.058283437	-134.75687	0.009054535	0.0	132.5333526134491
28	-174.69257	164.0952	-44.72913	-448.75684	1000.0	-17.264257	16.710808	31.289724	-46.31971	116000	5.722046e-09	310.29913	-0.055603053	-43.050262	0.009131188	0.0	137.14464330673218
29	-165.46906	53.449696	-98.25512	-231.23964	1000.0	-10.502939	9.331166	20.516186	-44.33779	120000	5.5134297e-10	379.0966	-0.055639297	-69.13141	0.009083935	0.0	141.75786519050598
30	-152.60391	110.63081	-31.283564	-292.2738	1000.0	-15.004902	9.729981	18.786985	-44.110783	124000	-8.34465e-09	416.33295	-0.05639428	-69.70633	0.009122068	0.0	146.7560317516327
31	-53.69341	127.420494	71.200874	-261.45074	1000.0	-10.862815	10.116703	18.873913	-45.519657	128000	-4.4226645e-08	489.04834	-0.056206327	-110.94577	0.009182453	0.0	151.44578313827515
32	-229.8583	60.081642	-128.85439	-285.192	1000.0	-6.149336	11.29062	27.792526	-43.609085	132000	9.536744e-10	668.44086	-0.053062312	-257.22385	0.009116464	0.0	155.92785382270813
33	-87.21855	90.12471	6.6545463	-200.70813	1000.0	-17.685051	11.288325	20.857927	-45.47219	136000	2.503395e-08	449.48694	-0.0554497	-165.27335	0.009056511	0.0	160.5361933708191
34	-61.828995	15.676611	-37.329746	-80.87526	1000.0	-7.6471806	8.291687	20.681969	-43.38623	140000	2.5749207e-08	312.95172	-0.055986658	-42.06012	0.009163098	0.0	165.0928635597229
