Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-746.53955	95.28052	-658.47626	-902.4833	1000.0	0.13030118	1.2323992	3.0524373	-2.9954836	4000	-0.028543381	5108.8247	-0.008922914	-1120.0247	5.489976	-0.000791838	5.01627516746521
1	-649.3128	56.434914	-587.99225	-707.9624	1000.0	-4.8034472	10.309494	15.008084	-15.882204	8000	-0.006937973	3421.2654	-0.0050708484	-1380.5533	5.5236034	0.001071635	8.931682109832764
2	-792.40955	45.05827	-716.93115	-833.9369	1000.0	-16.487797	4.9371004	11.029242	-22.126411	12000	-0.041155238	4147.2026	-0.0050779916	-1340.73	5.50897	0.0019073901	13.125244617462158
3	-720.0289	104.56871	-628.3178	-887.1991	1000.0	-29.982122	1.0124273	-13.706708	-30.671913	16000	0.020659018	1891.6274	-0.0045845713	-381.61865	5.5343533	0.0012421941	17.262630462646484
4	-551.64734	130.84917	-342.26758	-698.2377	1000.0	-35.9795	0.3310809	-30.112413	-36.19103	20000	-0.046106037	573.1838	-0.0029459	-71.062836	5.5051527	0.0029197081	21.451135635375977
5	-601.6936	22.073456	-575.7507	-630.3207	1000.0	-38.437244	1.6556647	10.782813	-38.783287	24000	-0.051099923	563.172	-0.0031503737	-93.67511	5.4985456	0.0011697378	25.504815340042114
6	-752.586	122.3713	-629.7644	-935.1002	1000.0	-41.424793	0.28060907	-36.094807	-41.61495	28000	-0.024172397	1369.9392	-0.0022283085	-227.12158	5.5025682	0.0009646	29.731459140777588
7	-671.2577	83.31897	-543.1082	-761.6132	1000.0	-46.138733	0.21416011	-42.41166	-46.27815	32000	-0.050192215	1143.4277	-0.0032484904	-76.0437	5.550549	0.0012162261	34.01189470291138
8	-636.8777	63.562008	-528.2488	-689.73474	1000.0	-48.639473	1.9428282	16.359232	-49.10867	36000	-0.012773943	372.88553	-0.002171427	-34.823334	5.5365205	0.0005470474	38.12771534919739
9	-673.823	16.301706	-647.4763	-691.9369	1000.0	-50.663277	0.5179403	-41.371044	-50.87638	40000	-0.033288095	538.1782	-0.0031539127	-37.03659	5.4750395	0.0021613783	42.33867001533508
10	-603.36316	52.974625	-531.32135	-655.38245	1000.0	-52.442867	2.8899577	40.33646	-52.893047	44000	-0.028709274	372.42838	-0.0031180717	-9.843109	5.515037	-0.00024526258	46.93167757987976
11	-616.5449	91.5837	-481.60327	-736.4188	1000.0	-53.136093	2.7165926	28.164001	-53.675156	48000	-0.05577499	618.22565	-0.0031924434	-31.66803	5.54925	0.0017454608	51.16222310066223
12	-667.54114	136.7727	-471.71716	-851.4549	1000.0	-53.12401	5.2592874	28.200323	-54.734497	52000	0.01828835	799.9004	-0.0017428752	-45.594055	5.504998	0.001053996	55.53724908828735
13	-609.0757	40.24937	-575.098	-673.6979	1000.0	-55.655136	3.1041007	-5.357353	-56.630527	56000	0.00062687113	450.17343	-0.0010078583	-43.4588	5.515911	-0.0001933164	59.73257780075073
